Date,BTC-USD,ETH-USD,THETA-USD,ALGO-USD,WAVES-USD
2017-06-20,2721.7900390625,359.0050048828125,,,5.072080135345459
2017-06-21,2689.10009765625,336.87200927734375,,,4.8899102210998535
2017-06-22,2705.409912109375,336.3710021972656,,,4.920119762420654
2017-06-23,2744.909912109375,341.739013671875,,,5.20713996887207
2017-06-24,2608.719970703125,323.6960144042969,,,4.859429836273193
2017-06-25,2589.409912109375,303.24798583984375,,,4.624849796295166
2017-06-26,2478.449951171875,272.6919860839844,,,3.825269937515259
2017-06-27,2552.449951171875,293.0880126953125,,,4.288380146026611
2017-06-28,2574.7900390625,327.927001953125,,,4.242119789123535
2017-06-29,2539.320068359375,302.88299560546875,,,3.9055800437927246
2017-06-30,2480.840087890625,294.9159851074219,,,3.569240093231201
2017-07-01,2434.550048828125,274.60101318359375,,,3.6978399753570557
2017-07-02,2506.469970703125,287.98699951171875,,,3.6234700679779053
2017-07-03,2564.06005859375,282.89801025390625,,,3.809230089187622
2017-07-04,2601.639892578125,273.3030090332031,,,4.318570137023926
2017-07-05,2601.989990234375,268.77398681640625,,,4.5585198402404785
2017-07-06,2608.56005859375,270.54901123046875,,,4.3416900634765625
2017-07-07,2518.659912109375,245.99099731445312,,,3.771559953689575
2017-07-08,2571.340087890625,251.69700622558594,,,3.9276599884033203
2017-07-09,2518.43994140625,242.13699340820312,,,3.7499101161956787
2017-07-10,2372.56005859375,215.35699462890625,,,2.8194100856781006
2017-07-11,2337.7900390625,197.4040069580078,,,2.590049982070923
2017-07-12,2398.840087890625,230.7740020751953,,,3.051490068435669
2017-07-13,2357.89990234375,209.73300170898438,,,2.899780035018921
2017-07-14,2233.340087890625,199.66200256347656,,,2.4292399883270264
2017-07-15,1998.8599853515625,170.65499877929688,,,2.042419910430908
2017-07-16,1929.8199462890625,157.36300659179688,,,1.9725699424743652
2017-07-17,2228.409912109375,193.4239959716797,,,2.5183000564575195
2017-07-18,2318.8798828125,234.39100646972656,,,2.8342199325561523
2017-07-19,2273.429931640625,199.7030029296875,,,2.6350901126861572
2017-07-20,2817.60009765625,227.26499938964844,,,3.2490899562835693
2017-07-21,2667.760009765625,218.30499267578125,,,3.2416000366210938
2017-07-22,2810.1201171875,229.4759979248047,,,3.9033899307250977
2017-07-23,2730.39990234375,225.9510040283203,,,3.6476800441741943
2017-07-24,2754.860107421875,224.71099853515625,,,3.519089937210083
2017-07-25,2576.47998046875,206.7100067138672,,,2.914180040359497
2017-07-26,2529.449951171875,203.9530029296875,,,2.738600015640259
2017-07-27,2671.780029296875,204.3179931640625,,,2.750420093536377
2017-07-28,2809.010009765625,193.1230010986328,,,3.001300096511841
2017-07-29,2726.449951171875,205.78900146484375,,,2.8680500984191895
2017-07-30,2757.179931640625,197.97799682617188,,,2.718090057373047
2017-07-31,2875.340087890625,203.87100219726562,,,2.7776999473571777
2017-08-01,2718.260009765625,226.7689971923828,,,3.013550043106079
2017-08-02,2710.669921875,219.95199584960938,,,3.5091300010681152
2017-08-03,2804.72998046875,225.3419952392578,,,3.844089984893799
2017-08-04,2895.889892578125,223.072998046875,,,3.6742000579833984
2017-08-05,3252.909912109375,256.5069885253906,,,4.3196001052856445
2017-08-06,3213.93994140625,261.5669860839844,,,5.206200122833252
2017-08-07,3378.93994140625,269.17999267578125,,,5.635129928588867
2017-08-08,3419.93994140625,296.7690124511719,,,5.410900115966797
2017-08-09,3342.469970703125,296.0270080566406,,,5.267730236053467
2017-08-10,3381.280029296875,295.8919982910156,,,5.597089767456055
2017-08-11,3650.6201171875,308.864013671875,,,5.537099838256836
2017-08-12,3884.7099609375,310.60101318359375,,,5.051819801330566
2017-08-13,4073.260009765625,298.0639953613281,,,4.788459777832031
2017-08-14,4325.1298828125,300.09698486328125,,,4.724880218505859
